date,ticker,value
2020-03-05,0007.KL,0.2
2018-06-07,0008.KL,2.0
2024-03-21,0010.KL,0.25
2017-05-23,0012.KL,1.25
2017-12-26,0022.KL,0.1
2017-11-10,0024.KL,1.07692308
2020-08-21,0024.KL,0.25
2022-12-12,0024.KL,1.01428571
2023-06-13,0024.KL,1.05263158
2024-06-21,0024.KL,1.2
2017-07-10,0034.KL,0.25
2023-10-27,0034.KL,0.1
2017-09-12,0036.KL,0.25
2025-03-05,0036.KL,0.03333333
2016-12-20,0039.KL,0.05
2020-10-12,0040.KL,1.5
2018-12-21,0043.KL,0.33333333
2022-05-19,0043.KL,0.1
2022-10-12,0045.KL,0.1
2019-01-18,0049.KL,1.1
2022-07-01,0055.KL,1.875
2020-07-08,0056.KL,1.03333333
2019-01-22,0060.KL,0.5
2021-02-02,0060.KL,0.25
2024-11-19,0060.KL,0.33333333
2017-06-16,0065.KL,2.0
2023-05-22,0066.KL,0.03333333
2020-11-02,0069.KL,0.1
2024-09-23,0070.KL,0.1
2017-09-12,0072.KL,0.33333333
2024-01-10,0072.KL,0.03333333
2023-10-25,0074.KL,0.1
2017-06-07,0078.KL,4.0
2026-01-15,0079.KL,0.25
2020-05-14,0083.KL,1.5
2017-10-19,0084.KL,1.33333333
2022-09-27,0084.KL,0.16666667
2017-11-06,0089.KL,1.5
2016-12-16,0090.KL,1.5
2018-11-12,0090.KL,1.2
2017-03-22,0092.KL,0.5
2021-04-20,0092.KL,0.1
2016-09-21,0094.KL,0.5
2019-08-06,0095.KL,0.125
2022-11-23,0096.KL,0.1
2017-07-19,0097.KL,2.0
2022-01-19,0097.KL,2.0
2024-06-10,0097.KL,2.0
2018-12-06,0098.KL,2.0
2020-10-14,0100.KL,2.0
2022-11-07,0103.KL,0.1
2022-01-07,0104.KL,13.0
2020-08-25,0107.KL,0.5
2023-03-23,0107.KL,0.05
2017-07-18,0112.KL,1.4
2018-10-25,0113.KL,1.25
2017-11-09,0118.KL,1.16666667
2020-12-22,0118.KL,0.04
2021-07-01,0119.KL,3.0
2017-11-10,0120.KL,1.5
2023-05-25,0120.KL,1.5
2023-03-16,0122.KL,0.33333333
2021-08-19,0126.KL,4.0
2017-06-15,0127.KL,2.0
2018-02-08,0127.KL,2.0
2021-04-27,0128.KL,1.5
2018-12-19,0131.KL,0.5
2017-08-30,0133.KL,0.33333333
2021-04-02,0133.KL,0.1
2024-12-13,0133.KL,0.1
2016-12-28,0138.KL,1.5
2021-09-13,0138.KL,2.0
2017-02-06,0140.KL,0.25
2021-03-04,0140.KL,2.0
2017-12-27,0146.KL,1.66666667
2021-01-20,0146.KL,4.0
2021-07-01,0151.KL,2.0
2020-11-23,0152.KL,0.1
2023-09-14,0152.KL,0.1
2019-08-30,0157.KL,1.33333333
2021-02-03,0157.KL,1.5
2023-04-18,0157.KL,1.4
2025-08-14,0157.KL,1.33333333
2017-07-06,0158.KL,1.1
2021-03-11,0161.KL,0.33333333
2024-07-29,0165.KL,0.03333333
2017-01-19,0166.KL,2.0
2018-04-11,0166.KL,1.5
2017-08-04,0169.KL,0.25
